Rating,Review
5.0,"Thank you to all the staff at Chongfah for creating such a memorable 50th bday for my husband Mr Peter in July. We were a party of 10 adults & two children. The staff ensured we had everything we needed and even put on a special 50th bday breakfast. The room were exceptionally clean & cleaned to a high standard daily. We looked forward to seeing the towel art each day.Beds, very comfy with a choice of pillows from the pillow menu.Lots of variety for breakfast with a buffet & ordering from a menu, great coffee best I e had in Thailand all while looking out over the ocean. Happy hour each night by the pool with a good choice of cocktails.The staff are Chongfah's biggest asset.Thank you"
5.0,"Checking in was really a breeze, a warm welcome from Sukanya and the ladies was genuinely friendly and made us feel right at home.The infinity Pool is great for a dip and laps in the early morning or late afternoon.Our air conditioned room is spacious and very comfortable, clean no stale smoke smells excellent! The bathroom is a contemporary design with a nice shower. The bed is very very comfortable. The Wifi is good. The Large  T.V screen has a good reception.Breakfast is excellent with fruit, yoghurt, and musli you can order a cooked breakfast from the menue also. The coffee is the best we have ever had from a hotel. There are lots of restaurants close by, but we dined here most of the time as the food is excellent. The hotel is situated close to a nice beach with soft sand( only accessible at low tide). Khao Lak is an ok town, the local villagers are a mix of retirees and farmers it's really laid back here. Hire a motor bikefor 150 Bht a day, from bike shop around the corner.My wife and I love this place so we will be back.Hope this helps; enjoy."
5.0,"This place is so good. From the moment we checked in, the staff were very friendly and did the utmost to fulfil every request we had. They are all very friendly, we will miss chatting to Yada and Rodger at the bar. We had a Sea View Bungalow and it was fantastic. Very spacious and clean, had a large whirlpool spa and inside + outside showers, and a large bed. My only concern here was that the bed was very wide but my feet hung off the edge (I'm 6ft tall) if I wasn't up quite high. The restaurant has nice food and plenty of choices, both western and Thai, although we found the prices to be slightly better outside the resort. Drinks at the bar were quite expensive, especially cocktails (~250 baht!), which you can definitely get cheaper if you wander outside the resort. They offer bikes that you can use which is more than enough to get around considering the great location the resort is in. We hired a scooter and found it was nice, but you definitely would get away with just the bikes. Could not recommend this place more, definitely stay here if you're looking at hotels around the area."
5.0,"Can't say enough positive things the resort is a small boutique 30 somthing  rooms...Great pool with wet edge... breakfast included order off menu what ever you like and how much you want. Nice  selection off  buffet as well, coffee, cupachino better than  most coffee shop chains... would highly recommend... if you want to relax... perfect for couples...The team at chongfa could not do enough.. to make our stay more delightful...."
5.0,"This hotel is situated on the sea front although the beach is very small but there are beaches within a 5 minute walk. The swimming pool is bigger than it looks with a magnificent view out to see, you have the impression you are swimming out to see. The staff are very friendly and helpful and can't do enough to help you. The food in the restaurant is good and reasonably priced. There are bikes available for free to use. There is a market four days a week just a 5 minute walk away and many bars restaurants and shops just up the road from the hotel. We have loved our stay here and would recommend it."
5.0,We stayed for 10 days in a sea view bungalow - great room and a massive bed with pillow menu!Pool is great and bigger than it looks in the photos.The staff are excellent and very friendly Would recommendWe went on trips to James Bond Island (do the Early Bird trip to avoid crowds) and also went to Phi Phi Islands despite it being low season. Also went to Turtle Sanctuary and bathing with Elephants. More than we expected would be possible in low season
5.0,"We came here during rainy season but still enjoyed the stay.. from start to finish nothing was too much for the staff! I read some reviews and I'm baffled by the comments, I think a lot comes down to how you treat the staff, treat them with kindness and respect and that's exactly what you get back. The staff all knew our names, and being one of the younger couples staying at the resort I have to stay it was so lovely and peaceful! Breakfast was excellent lots to choose from and I especially liked all the fresh juices to choose from, fruit and yogurts! The view is beautiful and the pool was lovely and warm. The room is kitted out with everything you need, the back of the room looks like a dressing room with a good size dressing table and wardrobe. Mosquito plugs and candles in the room, umbrellas for when it rained and great sized balcony. We really like the fact that you could use the bikes free of charge too. Great location lots of restaurants and bars with a few minutes walk! Overall brilliant stay keep up the good work! My sister and her boyfriend stayed at a hotel across the road a week later and came for the marvellous pad Thai and yummy ice cream milkshakes on our recommendation!"
5.0,"We loved everything about our stay here. We had a beach front bungalow as we were on our honeymoon and it was so luxurious waking up to the looking at the waves every morning. The cocktails were great, pool was awesome and they had free bikes you could use which was fun. The beach is washed away however we much prefer swimming in pools so this wasn't an issue for us. We did their cooking class too which was great. All staff were very friendly and spoke great English. We definitely felt at home and it was a great place to relax. Thankyou so much chongfah. We will be back again one day."
2.0,"I don't understand good reviews of this place.Deluxe room: dark, noisy air conditioner with mosquitoes in the room. We had some problems in the room and after complaining  several times, because they ignore at begining,Pancake  became rude and ironic to us.No security. Anyone can enter to the hotel. As you lay down on the sunbed, you see people walking by, and staring you.Breakfast: average and no fresh juice. Some unfriendly staff."
4.0,"I had delayed in posting this review because while this resort has its merits and commendable customer service, we continue to be at a lost at its #1 ranking on this site. Our stay was in early May. Perhaps if it was subcategorized under ""good value"" and a ""boutique-y"" vibe, then a high rating is justifiable for the Chongfah Resort (CR). But #1 for ALL of Khao Lak? We respectfully disagree. Laid-back, definitely. Luxury (as described by another reviewer)? Ur, no. To quantify our assessment, some background..... We came to Khao Lak at the beginning of the slow season and started the first half staying at what would turn out to be our best beach-front, luxury splurge resort experience ever. We had planned for switching out to a smaller, boutique-y resort for the second half and chose CR based on the raving TA reviews. Suffice to say we had so thoroughly enjoyed the first resort that any other Khao Lak resorts will pail in comparison. And in hindsight, we would've liked to have remained at our first choice the entire duration. But I don't mean to digress.....At Chongfah, based on some passing observations, I am guessing that there's possibly some planned expansion forthcoming. And some rooms were in the process of refurbishment during our stay. But for now, CR is simply a compact, bare basic sea-side compound. CR is esthetically pleasing, but nothing that stands out to explain its high ranking. The pool area overlooks into the sea and there's plenty of loungers, and even a couple of pagoda-like cabanas. Because of it being the slow season, CR told us they were at 50% occupancy, but we really never saw more than two other couples at once. Seriously, if you're a mega celebrity and looking to hide from the paparazzi, this is the place!We had a generous room that abutted a roadway but faced into the dense, resort garden. We encountered some rain during our stay, which made the covered balcony patio, and it's accompanying loungers the perfect vegging and reading spot. I'll do a separate review for their restaurant, the Seaborn. But the breakfast buffet needs some commenting. Specific staff in the dinning room must be new as they where tentative and shy. They didn't know or weren't sure of even the most basic questions. This resort is somewhat tucked away, that it will take around 12-15 minutes' walk up to the main road. Along the way are plenty of shops for inexpensive massages, tailor, dinning and bars. Resort staff were friendly and accommodating."
